query,neighbor,score,verdict
linked-list-cycle,intersection-of-two-linked-lists,0.672,partial
erect-the-fence,erect-the-fence-ii,0.710,mismatch
how-many-numbers-are-smaller-than-the-current-number,sort-array-by-increasing-frequency,0.685,mismatch
rank-transform-of-an-array,sort-array-by-increasing-frequency,0.713,mismatch
brightest-position-on-street,count-positions-on-street-with-required-brightness,0.658,match
rank-transform-of-a-matrix,minimize-maximum-value-in-a-grid,0.732,match
jump-game-vi,sliding-window-maximum,0.669,match
shortest-subarray-with-or-at-least-k-ii,shortest-subarray-with-or-at-least-k-i,0.727,match
find-the-number-of-ways-to-place-people-i,minimum-area-rectangle,0.716,mismatch
verify-preorder-sequence-in-binary-search-tree,construct-binary-tree-from-preorder-and-postorder-traversal,0.701,mismatch
longest-substring-with-at-least-k-repeating-characters,longest-nice-substring,0.678,mismatch
word-search-ii,word-squares,0.735,match
minimum-number-of-moves-to-seat-everyone,minimum-moves-to-get-a-peaceful-board,0.697,match
longest-cycle-in-a-graph,maximum-employees-to-be-invited-to-a-meeting,0.662,match
tree-diameter,diameter-of-binary-tree,0.734,match
rectangle-overlap,find-the-largest-area-of-square-inside-two-rectangles,0.745,match
maximum-gap,sort-an-array,0.709,match
create-sorted-array-through-instructions,count-of-smaller-numbers-after-self,0.714,match
sort-an-array,maximum-gap,0.709,match
find-distance-in-a-binary-tree,diameter-of-binary-tree,0.735,match
repeated-substring-pattern,repeated-string-match,0.655,match
distribute-candies-among-children-i,distribute-candies-among-children-ii,0.724,match
path-with-maximum-probability,number-of-ways-to-arrive-at-destination,0.677,match
kth-smallest-product-of-two-sorted-arrays,capacity-to-ship-packages-within-d-days,0.677,match
the-maze-ii,minimum-obstacle-removal-to-reach-corner,0.727,match
integer-to-english-words,special-binary-string,0.688,mismatch
sum-of-prefix-scores-of-strings,counting-words-with-a-given-prefix,0.673,match
count-of-range-sum,count-subarrays-with-more-ones-than-zeros,0.716,match
find-the-number-of-ways-to-place-people-ii,find-the-number-of-ways-to-place-people-i,0.714,partial
merge-sorted-array,find-all-k-distant-indices-in-an-array,0.611,mismatch
maximize-the-minimum-powered-city,minimum-sum-of-squared-difference,0.624,match
integer-to-roman,integer-to-english-words,0.558,partial
minimum-number-of-lines-to-cover-points,minimum-lines-to-represent-a-line-chart,0.553,partial
valid-boomerang,largest-triangle-area,0.605,partial
number-of-ways-to-reach-a-position-after-exactly-k-steps,unique-paths,0.623,partial
maximum-genetic-difference-query,longest-path-with-different-adjacent-characters,0.629,mismatch
search-a-2d-matrix,search-a-2d-matrix-ii,0.623,mismatch
remove-boxes,number-of-distinct-roll-sequences,0.638,mismatch
collect-coins-in-a-tree,tree-diameter,0.584,mismatch
all-divisions-with-the-highest-score-of-a-binary-array,stone-game-v,0.600,mismatch
maximum-total-damage-with-spell-casting,minimum-number-of-operations-to-make-array-continuous,0.579,partial
construct-string-with-minimum-cost,number-of-ways-to-separate-numbers,0.591,partial
split-array-with-same-average,partition-equal-subset-sum,0.635,partial
optimal-account-balancing,find-minimum-time-to-finish-all-jobs,0.574,mismatch
longest-duplicate-substring,longest-common-subpath,0.609,match
find-the-kth-largest-integer-in-the-array,top-k-frequent-elements,0.564,partial
remove-nodes-from-linked-list,reorder-list,0.585,mismatch
maximize-the-minimum-powered-city,minimum-sum-of-squared-difference,0.624,match
find-the-winning-player-in-coin-game,can-i-win,0.558,mismatch
flip-game-ii,can-i-win,0.574,match
optimal-partition-of-string,find-longest-special-substring-that-occurs-thrice-ii,0.615,mismatch
maximum-strictly-increasing-cells-in-a-matrix,minimum-number-of-visited-cells-in-a-grid,0.580,match
camelcase-matching,match-substring-after-replacement,0.562,mismatch
maximum-rows-covered-by-columns,maximum-good-people-based-on-statements,0.634,match
maximum-good-people-based-on-statements,maximum-rows-covered-by-columns,0.634,match
longest-common-subpath,maximum-length-of-repeated-subarray,0.632,partial
beautiful-arrangement,find-the-minimum-cost-array-permutation,0.642,partial
number-of-black-blocks,make-a-square-with-the-same-color,0.594,partial
minimum-time-to-complete-trips,capacity-to-ship-packages-within-d-days,0.576,match
h-index,how-many-numbers-are-smaller-than-the-current-number,0.556,mismatch
strobogrammatic-number-iii,strobogrammatic-number-ii,0.583,match
count-special-integers,number-of-digit-one,0.647,match
sort-linked-list-already-sorted-using-absolute-values,remove-nodes-from-linked-list,0.576,mismatch
jump-game-vii,longest-nice-substring,0.607,mismatch
gray-code,subsets,0.617,partial
regular-expression-matching,wildcard-matching,0.629,partial
number-of-subarrays-that-match-a-pattern-ii,longest-happy-prefix,0.595,match
split-array-largest-sum,capacity-to-ship-packages-within-d-days,0.647,match
number-of-digit-one,count-special-integers,0.647,match
parallel-courses-ii,shortest-path-visiting-all-nodes,0.645,match
maximum-number-of-tasks-you-can-assign,minimized-maximum-of-products-distributed-to-any-store,0.602,match
candy,longest-continuous-increasing-subsequence,0.577,partial
minimum-difference-between-highest-and-lowest-of-k-scores,maximum-tastiness-of-candy-basket,0.601,partial
minimum-number-of-moves-to-make-palindrome,palindrome-permutation,0.586,mismatch
ransom-note,count-common-words-with-one-occurrence,0.548,mismatch
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,broken-calculator,0.515,mismatch
paint-house-iii,min-cost-climbing-stairs,0.507,mismatch
number-of-unique-categories,subtree-of-another-tree,0.476,mismatch
best-position-for-a-service-centre,find-the-number-of-ways-to-place-people-i,0.507,mismatch
dice-roll-simulation,bitwise-ors-of-subarrays,0.542,mismatch
minimum-cuts-to-divide-a-circle,erect-the-fence-ii,0.461,mismatch
describe-the-painting,sort-array-by-increasing-frequency,0.537,mismatch
projection-area-of-3d-shapes,largest-triangle-area,0.516,mismatch
number-of-times-binary-string-is-prefix-aligned,all-divisions-with-the-highest-score-of-a-binary-array,0.538,mismatch
maximum-element-sum-of-a-complete-subset-of-indices,distinct-prime-factors-of-product-of-array,0.485,partial
the-most-similar-path-in-a-graph,find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,0.549,mismatch
freedom-trail,the-maze-iii,0.549,match
sqrtx,kth-smallest-number-in-multiplication-table,0.542,mismatch
minimum-number-of-days-to-disconnect-island,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,0.477,mismatch
detonate-the-maximum-bombs,tree-diameter,0.487,mismatch
escape-the-ghosts,reaching-points,0.459,mismatch
factorial-trailing-zeroes,reverse-integer,0.523,mismatch
permutation-sequence,count-good-triplets-in-an-array,0.477,mismatch
find-winner-on-a-tic-tac-toe-game,cat-and-mouse,0.518,mismatch
number-of-ways-to-build-sturdy-brick-wall,maximum-and-sum-of-array,0.545,mismatch
query-kth-smallest-trimmed-number,find-the-kth-largest-integer-in-the-array,0.512,partial
minimum-number-of-k-consecutive-bit-flips,minimum-operations-to-make-binary-array-elements-equal-to-one-i,0.540,match
word-ladder,can-convert-string-in-k-moves,0.519,mismatch
letter-tile-possibilities,count-pairs-of-similar-strings,0.549,mismatch
check-if-grid-satisfies-conditions,valid-word-square,0.539,match
closest-room,minimum-absolute-sum-difference,0.504,partial
maximum-gcd-sum-of-a-subarray,shortest-subarray-with-sum-at-least-k,0.517,mismatch
wiggle-sort-ii,array-with-elements-not-equal-to-average-of-neighbors,0.535,match
subarray-with-elements-greater-than-varying-threshold,partition-array-such-that-maximum-difference-is-k,0.531,partial
find-all-possible-recipes-from-given-supplies,parallel-courses,0.541,match
find-duplicate-file-in-system,delete-duplicate-folders-in-system,0.544,partial
painting-a-grid-with-three-different-colors,number-of-ways-to-build-sturdy-brick-wall,0.517,match
happy-number,linked-list-cycle,0.525,match
tag-validator,ternary-expression-parser,0.543,partial
bulb-switcher,elimination-game,0.449,mismatch
construct-the-longest-new-string,longest-increasing-subsequence,0.394,mismatch
toss-strange-coins,kth-smallest-amount-with-single-denomination-combination,0.447,mismatch
number-of-people-aware-of-a-secret,time-needed-to-buy-tickets,0.428,mismatch
percentage-of-letter-in-string,count-the-number-of-vowel-strings-in-range,0.448,mismatch
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,toss-strange-coins,0.436,mismatch
minimum-number-of-food-buckets-to-feed-the-hamsters,minimum-moves-to-spread-stones-over-grid,0.442,mismatch
find-the-pivot-integer,sqrtx,0.397,partial
find-the-town-judge,node-with-highest-edge-score,0.407,match
bulb-switcher-ii,minimum-operations-to-make-binary-array-elements-equal-to-one-i,0.442,mismatch
car-fleet-ii,movement-of-robots,0.396,partial
airplane-seat-assignment-probability,nim-game,0.357,mismatch
check-if-the-rectangle-corner-is-reachable,erect-the-fence-ii,0.407,mismatch
web-crawler-multithreaded,course-schedule,0.414,mismatch
find-indices-with-index-and-value-difference-i,find-indices-with-index-and-value-difference-ii,0.897,match
find-indices-with-index-and-value-difference-ii,find-indices-with-index-and-value-difference-i,0.897,match
construct-binary-tree-from-preorder-and-postorder-traversal,construct-binary-tree-from-inorder-and-postorder-traversal,0.858,match
number-of-equal-count-substrings,count-complete-substrings,0.856,match
count-complete-substrings,number-of-equal-count-substrings,0.856,match
binary-tree-postorder-traversal,binary-tree-preorder-traversal,0.852,match
construct-binary-tree-from-preorder-and-inorder-traversal,construct-binary-tree-from-inorder-and-postorder-traversal,0.851,match
count-of-smaller-numbers-after-self,reverse-pairs,0.836,match
reverse-pairs,count-of-smaller-numbers-after-self,0.836,match
number-of-distinct-islands-ii,number-of-distinct-islands,0.835,match
binary-tree-inorder-traversal,binary-tree-preorder-traversal,0.830,partial
course-schedule-iii,maximum-number-of-events-that-can-be-attended,0.820,match
maximum-number-of-events-that-can-be-attended,course-schedule-iii,0.820,match
stone-game-vii,stone-game-iii,0.816,mismatch
minimum-time-to-revert-word-to-initial-state-i,minimum-time-to-revert-word-to-initial-state-ii,0.816,partial
number-of-connected-components-in-an-undirected-graph,number-of-provinces,0.813,match
number-of-provinces,number-of-connected-components-in-an-undirected-graph,0.813,match
minimum-number-of-coins-for-fruits,minimum-number-of-coins-for-fruits-ii,0.813,partial
search-in-a-binary-search-tree,insert-into-a-binary-search-tree,0.805,match
convert-sorted-list-to-binary-search-tree,convert-sorted-array-to-binary-search-tree,0.804,match
find-longest-special-substring-that-occurs-thrice-ii,find-longest-special-substring-that-occurs-thrice-i,0.793,partial
kth-smallest-element-in-a-bst,minimum-distance-between-bst-nodes,0.793,partial
reverse-linked-list,swap-nodes-in-pairs,0.790,partial
the-number-of-good-subsets,count-the-number-of-square-free-subsets,0.784,match
maximum-binary-tree-ii,insert-into-a-binary-search-tree,0.780,partial
shortest-palindrome,longest-happy-prefix,0.771,partial
longest-happy-prefix,shortest-palindrome,0.771,partial
subarrays-with-k-different-integers,length-of-longest-subarray-with-at-most-k-frequency,0.770,partial
count-univalue-subtrees,diameter-of-binary-tree,0.766,partial
closest-binary-search-tree-value,largest-bst-subtree,0.762,mismatch
redundant-connection,number-of-connected-components-in-an-undirected-graph,0.761,match
power-of-four,power-of-two,0.759,match
count-sorted-vowel-strings,number-of-strings-which-can-be-rearranged-to-contain-substring,0.757,partial
powx-n,power-of-three,0.755,mismatch
stone-game-viii,stone-game-ii,0.755,mismatch
reorder-list,palindrome-linked-list,0.755,match
count-complete-tree-nodes,count-univalue-subtrees,0.754,mismatch
repeated-string-match,maximum-repeating-substring,0.754,match
maximum-repeating-substring,repeated-string-match,0.754,match
sort-characters-by-frequency,top-k-frequent-words,0.751,mismatch
top-k-frequent-words,sort-characters-by-frequency,0.751,mismatch
closest-nodes-queries-in-a-binary-search-tree,kth-smallest-element-in-a-bst,0.750,partial
choose-edges-to-maximize-score-in-a-tree,maximum-score-after-applying-operations-on-a-tree,0.748,match
maximum-score-after-applying-operations-on-a-tree,choose-edges-to-maximize-score-in-a-tree,0.748,match
cat-and-mouse,cat-and-mouse-ii,0.746,match
cat-and-mouse-ii,cat-and-mouse,0.746,match
intersection-of-two-arrays,find-the-difference-of-two-arrays,0.746,match
find-the-difference-of-two-arrays,intersection-of-two-arrays,0.746,match
elimination-game,power-of-three,0.745,mismatch
find-the-largest-area-of-square-inside-two-rectangles,rectangle-overlap,0.745,match
two-sum-iv-input-is-a-bst,two-sum-bsts,0.744,partial
encode-string-with-shortest-length,restore-the-array,0.741,mismatch
restore-the-array,encode-string-with-shortest-length,0.741,mismatch
longest-increasing-path-in-a-matrix,number-of-increasing-paths-in-a-grid,0.739,match
unique-paths,number-of-ways-to-reach-destination-in-the-grid,0.739,mismatch
number-of-ways-to-reach-destination-in-the-grid,unique-paths,0.739,mismatch
find-eventual-safe-states,course-schedule,0.739,match
nim-game,subtree-removal-game-with-fibonacci-tree,0.737,match
subtree-removal-game-with-fibonacci-tree,nim-game,0.737,match
rectangle-area,find-the-largest-area-of-square-inside-two-rectangles,0.737,partial
word-squares,word-search-ii,0.735,match
maximum-binary-tree,convert-sorted-array-to-binary-search-tree,0.735,match
maximum-strong-pair-xor-i,maximum-strong-pair-xor-ii,0.733,partial
maximum-strong-pair-xor-ii,maximum-strong-pair-xor-i,0.733,partial
find-the-index-of-the-first-occurrence-in-a-string,check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,0.733,mismatch
minimize-maximum-value-in-a-grid,rank-transform-of-a-matrix,0.732,match
decode-ways,decode-ways-ii,0.731,match
decode-ways-ii,decode-ways,0.731,match
most-frequent-subtree-sum,count-univalue-subtrees,0.731,partial
number-of-substrings-containing-all-three-characters,count-complete-substrings,0.730,mismatch
reconstruct-itinerary,valid-arrangement-of-pairs,0.728,match
valid-arrangement-of-pairs,reconstruct-itinerary,0.728,match
closest-subsequence-sum,partition-array-into-two-arrays-to-minimize-sum-difference,0.728,match
partition-array-into-two-arrays-to-minimize-sum-difference,closest-subsequence-sum,0.728,match
shortest-subarray-with-or-at-least-k-i,shortest-subarray-with-or-at-least-k-ii,0.727,match
minimum-obstacle-removal-to-reach-corner,the-maze-ii,0.727,match
sliding-window-maximum,longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,0.727,match
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,sliding-window-maximum,0.727,match
distinct-subsequences-ii,decode-ways,0.727,mismatch
remove-duplicates-from-sorted-list-ii,remove-duplicates-from-sorted-list,0.726,partial
remove-duplicates-from-sorted-list,remove-duplicates-from-sorted-list-ii,0.726,partial
constrained-subsequence-sum,sliding-window-maximum,0.724,match
distribute-candies-among-children-ii,distribute-candies-among-children-i,0.724,match
decode-string,basic-calculator-iii,0.724,partial
count-nodes-equal-to-average-of-subtree,count-univalue-subtrees,0.722,match
word-search,word-search-ii,0.722,match
maximum-subarray,maximum-sum-circular-subarray,0.721,match
maximum-sum-circular-subarray,maximum-subarray,0.721,match
strobogrammatic-number,valid-word-abbreviation,0.720,mismatch
valid-word-abbreviation,strobogrammatic-number,0.720,mismatch
longest-path-with-different-adjacent-characters,most-profitable-path-in-a-tree,0.719,partial
most-profitable-path-in-a-tree,longest-path-with-different-adjacent-characters,0.719,partial
minimum-xor-sum-of-two-arrays,closest-subsequence-sum,0.718,mismatch
count-subarrays-with-more-ones-than-zeros,count-of-range-sum,0.716,match
minimum-area-rectangle,find-the-number-of-ways-to-place-people-i,0.716,mismatch
stone-game-ix,stone-game-iii,0.715,mismatch
optimize-water-distribution-in-a-village,min-cost-to-connect-all-points,0.713,partial
min-cost-to-connect-all-points,optimize-water-distribution-in-a-village,0.713,partial
reverse-nodes-in-k-group,reverse-linked-list,0.713,match
sort-array-by-increasing-frequency,rank-transform-of-an-array,0.713,mismatch
longest-common-prefix,longest-word-in-dictionary,0.712,mismatch
minimum-cost-of-a-path-with-special-roads,minimum-cost-to-reach-city-with-discounts,0.711,match
shortest-subarray-with-sum-at-least-k,count-subarrays-with-fixed-bounds,0.711,mismatch
count-subarrays-with-fixed-bounds,shortest-subarray-with-sum-at-least-k,0.711,mismatch
erect-the-fence-ii,erect-the-fence,0.710,mismatch
number-of-ways-to-arrive-at-destination,number-of-restricted-paths-from-first-to-last-node,0.710,match
minimum-number-of-work-sessions-to-finish-the-tasks,maximum-and-sum-of-array,0.709,match
maximum-and-sum-of-array,minimum-number-of-work-sessions-to-finish-the-tasks,0.709,match
predict-the-winner,stone-game-viii,0.708,mismatch
extra-characters-in-a-string,longest-common-suffix-queries,0.708,mismatch
longest-common-suffix-queries,extra-characters-in-a-string,0.708,mismatch
the-maze-iii,the-maze-ii,0.708,match
find-subarray-with-bitwise-or-closest-to-k,shortest-subarray-with-or-at-least-k-ii,0.707,match
sum-of-scores-of-built-strings,longest-happy-prefix,0.706,match
minimum-number-of-operations-to-make-array-continuous,length-of-longest-subarray-with-at-most-k-frequency,0.705,mismatch
ternary-expression-parser,decode-string,0.705,mismatch
number-of-beautiful-partitions,restore-the-array,0.704,match
stone-game-vi,stone-game-ix,0.703,mismatch
words-within-two-edits-of-dictionary,longest-common-suffix-queries,0.703,mismatch
substring-with-concatenation-of-all-words,count-complete-substrings,0.703,partial
string-matching-in-an-array,counting-words-with-a-given-prefix,0.702,partial
counting-words-with-a-given-prefix,string-matching-in-an-array,0.702,partial
special-binary-string,decode-string,0.700,mismatch
concatenated-words,longest-common-suffix-queries,0.700,mismatch
partition-to-k-equal-sum-subsets,closest-subsequence-sum,0.698,mismatch
minimum-moves-to-get-a-peaceful-board,minimum-number-of-moves-to-seat-everyone,0.697,match
word-break-ii,extra-characters-in-a-string,0.697,match
clear-digits,decode-string,0.696,mismatch
find-all-k-distant-indices-in-an-array,find-indices-with-index-and-value-difference-ii,0.695,mismatch
minimum-time-to-kill-all-monsters,minimum-xor-sum-of-two-arrays,0.694,match
number-of-pairs-satisfying-inequality,count-subarrays-with-more-ones-than-zeros,0.693,match
remove-linked-list-elements,swap-nodes-in-pairs,0.693,partial
majority-element,majority-element-ii,0.692,match
majority-element-ii,majority-element,0.692,match
count-prefix-and-suffix-pairs-i,string-matching-in-an-array,0.692,mismatch
maximum-binary-string-after-change,minimum-moves-to-convert-string,0.692,mismatch
strobogrammatic-number-ii,special-binary-string,0.692,mismatch
find-the-minimum-cost-array-permutation,minimum-time-to-kill-all-monsters,0.686,match
length-of-longest-fibonacci-subsequence,longest-arithmetic-subsequence-of-given-difference,0.685,partial
longest-arithmetic-subsequence-of-given-difference,length-of-longest-fibonacci-subsequence,0.685,partial
stone-game-v,stone-game-vii,0.684,mismatch
partition-list,remove-duplicates-from-sorted-list-ii,0.683,mismatch
subsets,subsets-ii,0.681,partial
subsets-ii,subsets,0.681,partial
count-good-triplets-in-an-array,count-of-smaller-numbers-after-self,0.681,partial
maximum-product-of-the-length-of-two-palindromic-substrings,maximum-product-of-the-length-of-two-palindromic-subsequences,0.680,partial
maximum-product-of-the-length-of-two-palindromic-subsequences,maximum-product-of-the-length-of-two-palindromic-substrings,0.680,partial
longest-nice-substring,longest-substring-with-at-least-k-repeating-characters,0.678,mismatch
capacity-to-ship-packages-within-d-days,kth-smallest-product-of-two-sorted-arrays,0.677,match
maximum-xor-with-an-element-from-array,maximum-strong-pair-xor-ii,0.677,match
smallest-sufficient-team,number-of-ways-to-wear-different-hats-to-each-other,0.677,match
number-of-ways-to-wear-different-hats-to-each-other,smallest-sufficient-team,0.677,match
find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,number-of-ways-to-arrive-at-destination,0.677,partial
reachable-nodes-in-subdivided-graph,minimum-cost-of-a-path-with-special-roads,0.677,match
possible-bipartition,redundant-connection,0.676,match
cousins-in-binary-tree-ii,count-univalue-subtrees,0.676,mismatch
stone-game,stone-game-iii,0.675,partial
two-sum,k-diff-pairs-in-an-array,0.674,match
k-diff-pairs-in-an-array,two-sum,0.674,match
intersection-of-two-linked-lists,linked-list-cycle,0.672,partial
valid-palindrome,strobogrammatic-number,0.672,mismatch
the-maze,the-maze-ii,0.672,match
find-mode-in-binary-search-tree,count-univalue-subtrees,0.671,mismatch
max-area-of-island,shortest-bridge,0.670,partial
shortest-bridge,max-area-of-island,0.670,partial
minimum-operations-to-make-binary-array-elements-equal-to-one-i,shortest-subarray-with-or-at-least-k-ii,0.669,mismatch
longest-increasing-subsequence-ii,longest-arithmetic-subsequence-of-given-difference,0.669,partial
best-time-to-buy-and-sell-stock,partition-equal-subset-sum,0.668,mismatch
partition-equal-subset-sum,best-time-to-buy-and-sell-stock,0.668,mismatch
interval-list-intersections,find-all-k-distant-indices-in-an-array,0.667,mismatch
merge-two-sorted-lists,swap-nodes-in-pairs,0.667,mismatch
maximum-xor-of-two-numbers-in-an-array,maximum-xor-with-an-element-from-array,0.665,match
smallest-subarrays-with-maximum-bitwise-or,shortest-subarray-with-or-at-least-k-ii,0.664,match
sequence-reconstruction,build-a-matrix-with-conditions,0.664,match
build-a-matrix-with-conditions,sequence-reconstruction,0.664,match
find-the-number-of-distinct-colors-among-the-balls,number-of-unique-flavors-after-sharing-k-candies,0.664,mismatch
maximum-employees-to-be-invited-to-a-meeting,longest-cycle-in-a-graph,0.662,match
maximum-deletions-on-a-string,minimum-time-to-revert-word-to-initial-state-i,0.660,partial
fair-candy-swap,intersection-of-two-arrays,0.660,mismatch
broken-calculator,elimination-game,0.660,mismatch
count-number-of-nice-subarrays,count-subarrays-with-median-k,0.660,partial
count-subarrays-with-median-k,count-number-of-nice-subarrays,0.660,partial
minimum-cost-to-split-an-array,length-of-longest-subarray-with-at-most-k-frequency,0.660,mismatch
divide-nodes-into-the-maximum-number-of-groups,number-of-connected-components-in-an-undirected-graph,0.659,partial
minimized-maximum-of-products-distributed-to-any-store,maximum-tastiness-of-candy-basket,0.659,match
maximum-tastiness-of-candy-basket,minimized-maximum-of-products-distributed-to-any-store,0.659,match
longest-palindromic-substring,shortest-palindrome,0.658,match
count-positions-on-street-with-required-brightness,brightest-position-on-street,0.658,match
shortest-path-in-a-grid-with-obstacles-elimination,minimum-moves-to-spread-stones-over-grid,0.657,partial
minimum-moves-to-spread-stones-over-grid,shortest-path-in-a-grid-with-obstacles-elimination,0.657,partial
word-break,longest-word-in-dictionary,0.657,partial
reverse-bits,number-of-1-bits,0.656,mismatch
number-of-1-bits,reverse-bits,0.656,mismatch
sort-colors,count-pairs-in-two-arrays,0.656,mismatch
count-pairs-in-two-arrays,sort-colors,0.656,mismatch
minesweeper,shortest-bridge,0.656,partial
time-needed-to-buy-tickets,time-taken-to-cross-the-door,0.656,mismatch
time-taken-to-cross-the-door,time-needed-to-buy-tickets,0.656,mismatch
find-k-closest-elements,shortest-subarray-with-sum-at-least-k,0.655,mismatch
distinct-prime-factors-of-product-of-array,the-number-of-good-subsets,0.655,partial
count-number-of-maximum-bitwise-or-subsets,subsets-ii,0.655,mismatch
sum-of-distances-in-tree,most-profitable-path-in-a-tree,0.653,partial
network-delay-time,the-maze-ii,0.652,match
find-the-length-of-the-longest-common-prefix,longest-common-suffix-queries,0.652,match
climbing-stairs,number-of-ways-to-stay-in-the-same-place-after-some-steps,0.651,partial
number-of-ways-to-stay-in-the-same-place-after-some-steps,climbing-stairs,0.651,partial
find-the-longest-valid-obstacle-course-at-each-position,smallest-subarrays-with-maximum-bitwise-or,0.651,mismatch
minimum-sum-of-values-by-dividing-array,find-subarray-with-bitwise-or-closest-to-k,0.651,mismatch
eliminate-maximum-number-of-monsters,course-schedule-iii,0.651,match
count-the-number-of-k-big-indices,number-of-pairs-satisfying-inequality,0.651,match
find-the-shortest-superstring,find-the-minimum-cost-array-permutation,0.650,match
basic-calculator-ii,basic-calculator,0.649,partial
second-minimum-time-to-reach-destination,path-with-maximum-probability,0.648,partial
convert-binary-number-in-a-linked-list-to-integer,remove-duplicates-from-sorted-list-ii,0.647,mismatch
merge-two-2d-arrays-by-summing-values,find-all-k-distant-indices-in-an-array,0.646,mismatch
can-convert-string-in-k-moves,shifting-letters-ii,0.645,partial
shifting-letters-ii,can-convert-string-in-k-moves,0.645,partial
find-minimum-time-to-finish-all-jobs-ii,eliminate-maximum-number-of-monsters,0.645,mismatch
shortest-path-visiting-all-nodes,parallel-courses-ii,0.645,match
remove-nth-node-from-end-of-list,remove-duplicates-from-sorted-list-ii,0.645,mismatch
add-two-numbers,remove-linked-list-elements,0.645,mismatch
kth-smallest-number-in-multiplication-table,kth-smallest-product-of-two-sorted-arrays,0.644,match
minimum-number-of-operations-to-make-x-and-y-equal,broken-calculator,0.644,partial
remove-element,find-all-k-distant-indices-in-an-array,0.643,mismatch
fibonacci-number,elimination-game,0.643,mismatch
substrings-that-begin-and-end-with-the-same-letter,number-of-equal-count-substrings,0.642,mismatch
